case;singular;plural
ter;samasuguseni;samasugusteni, samasuguseini
es;samasugusena;samasugustena, samasuguseina
ab;samasuguseta;samasugusteta
kom;samasugusega;samasugustega
n;samataoline;samataolised
g;samataolise;samataoliste
p;samataolist;samataolisi, samataoliseid
ill;samataolisesse;samataolisisse, samataolistesse, samataoliseisse
in;samataolises;samataolisis, samataolistes, samataoliseis
el;samataolisest;samataolisist, samataolistest, samataoliseist
all;samataolisele;samataolisile, samataolistele, samataoliseile
ad;samataolisel;samataolisil, samataolistel, samataoliseil
abl;samataoliselt;samataolisilt, samataolistelt, samataoliseilt
tr;samataoliseks;samataolisiks, samataolisteks, samataoliseiks
ter;samataoliseni;samataolisteni
es;samataolisena;samataolistena
ab;samataoliseta;samataolisteta
kom;samataolisega;samataolistega
n;see;need
g;selle;nende
p;seda;neid
ill;sesse, sellesse;neisse, nendesse
in;ses, selles;neis, nendes
el;sest, sellest;neist, nendest
all;sellele;neile, nendele
ad;sel, sellel;neil, nendel
abl;selt, sellelt;neilt, nendelt
tr;seks, selleks;neiks, nendeks
ter;selleni;nendeni
es;sellena;nendena
ab;selleta;nendeta
kom;sellega;nendega
n;seesama;needsamad
g;sellesama;nendesamade
p;sedasama;neidsamu
ill;sellessesamasse, sessesamasse;neissesamusse, nendessesamadesse
in;sellessamas, sessamas;neissamus, nendessamades
el;sellestsamast, sestsamast;neistsamust, nendestsamadest
all;sellelesamale;nendelesamadele
ad;sellelsamal, selsamal;neilsamul, nendelsamadel
abl;selleltsamalt, seltsamalt;neiltsamult, nendeltsamadelt
tr;sekssamaks, sellekssamaks;neikssamuks, nendekssamadeks
ter;sellesamani;nendesamadeni
es;sellesamana;nendesamadena
ab;sellesamata;nendesamadeta
kom;sellesamaga;nendesamadega
n;seesamane;needsamased
g;sellesamase;nendesamaste
p;sedasamast;neidsamaseid
ill;sellessesamasesse, sessesamasesse;neissesamaseisse, nendessesamastesse
in;sellessamases, sessamases;neissamaseis, nendessamastes
el;sellestsamasest, sestsamasest;neistsamaseist, nendestsamastest
all;sellelesamasele;nendelesamastele
ad;sellelsamasel, selsamasel;neilsamaseil, nendelsamastel
abl;selleltsamaselt, seltsamaselt;neiltsamaseilt, nendeltsamastelt
tr;sekssamaseks, sellekssamaseks;neikssamaseiks, nendekssamasteks
ter;sellesamaseni;nendesamasteni
es;sellesamasena;nendesamastena
ab;sellesamaseta;nendesamasteta
kom;sellesamasega;nendesamastega
n;seesamune;needsamused
g;sellesamuse;nendesamuste
p;sedasamust;neidsamuseid
ill;sellessesamusesse, sessesamusesse;neissesamuseisse, nendessesamustesse
in;sellessamuses, sessamuses;neissamuseis, nendessamustes
el;sellestsamusest, sestsamusest;neistsamuseist, nendestsamustest
all;sellelesamusele;nendelesamustele
ad;sellelsamusel, selsamusel;neilsamuseil, nendelsamustel
abl;selleltsamuselt, seltsamuselt;neiltsamuseilt, nendeltsamustelt
tr;sekssamuseks, sellekssamuseks;neikssamuseiks, nendekssamusteks
ter;sellesamuseni;nendesamusteni
es;sellesamusena;nendesamustena
ab;sellesamuseta;nendesamusteta
kom;sellesamusega;nendesamustega
n;seesinane;needsinased, needsinatsed
g;sellesinase, sellesinatse;nendesinaste
p;sedasinast;neidsinaseid, neidsinatseid
ill;sellessesinasesse, sellessesinatsesse, sessesinasesse, sessesinatsesse;neissesinaseisse, nendessesinastesse
in;sellessinases, sellessinatses, sessinases, sessinatses;neissinaseis, nendessinastes
el;sellestsinasest, sellestsinatsest, sestsinasest, sestsinatsest;neistsinaseist, nendestsinastest
all;sellelesinasele, sellelesinatsele;nendelesinastele
ad;sellelsinasel, sellelsinatsel, selsinasel, selsinatsel;neilsinaseil, nendelsinastel
abl;selleltsinaselt, selleltsinatselt, seltsinaselt, seltsinatselt;neiltsinaseilt, nendeltsinastelt
tr;sekssinaseks, sekssinatseks, sellekssinaseks, sellekssinatseks;neikssinaseiks, nendekssinasteks
ter;sellesinaseni, sellesinatseni;nendesinasteni
es;sellesinasena, sellesinatsena;nendesinastena
ab;sellesinaseta, sellesinatseta;nendesinasteta
kom;sellesinasega, sellesinatsega;nendesinastega
n;seesugune;seesugused
g;seesuguse;seesuguste
p;seesugust;seesuguseid
ill;seesugusesse;seesugustesse, seesuguseisse
in;seesuguses;seesugustes, seesuguseis
el;seesugusest;seesugustest, seesuguseist
all;seesugusele;seesugustele, seesuguseile
ad;seesugusel;seesugustel, seesuguseil
abl;seesuguselt;seesugustelt, seesuguseilt
tr;seesuguseks;seesugusteks, seesuguseiks
ter;seesuguseni;seesugusteni, seesuguseini
es;seesugusena;seesugustena, seesuguseina
ab;seesuguseta;seesugusteta
kom;seesugusega;seesugustega
n;selline;sellised
g;sellise;selliste
p;sellist;selliseid
ill;sellisesse;sellistesse, selliseisse
in;sellises;sellistes, selliseis
el;sellisest;sellistest, selliseist
all;sellisele;sellistele, selliseile
ad;sellisel;sellistel, selliseil
abl;selliselt;sellistelt, selliseilt
tr;selliseks;sellisteks, selliseiks
ter;selliseni;sellisteni, selliseini
es;sellisena;sellistena, selliseina
ab;selliseta;sellisteta
kom;sellisega;sellistega
n;sihuke;sihukesed
g;sihukese;sihukeste
p;sihukest;sihukesi
ill;sihukesesse;sihukesisse, sihukestesse
in;sihukeses;sihukesis, sihukestes
el;sihukesest;sihukesist, sihukestest
all;sihukesele;sihukesile, sihukestele
ad;sihukesel;sihukesil, sihukestel
abl;sihukeselt;sihukesilt, sihukestelt
tr;sihukeseks;sihukesiks, sihukesteks
ter;sihukeseni;sihukesteni
es;sihukesena;sihukestena
ab;sihukeseta;sihukesteta
kom;sihukesega;sihukestega
n;sihukene;sihukesed
g;sihukese;sihukeste
p;sihukest;sihukesi
ill;sihukesesse;sihukesisse, sihukestesse
in;sihukeses;sihukesis, sihukestes
el;sihukesest;sihukesist, sihukestest
all;sihukesele;sihukesile, sihukestele
ad;sihukesel;sihukesil, sihukestel
abl;sihukeselt;sihukesilt, sihukestelt
tr;sihukeseks;sihukesiks, sihukesteks
ter;sihukeseni;sihukesteni
es;sihukesena;sihukestena
ab;sihukeseta;sihukesteta
kom;sihukesega;sihukestega
n;sa, sina, sina;sinad, te, teie
g;sina, sinu, su;sinade, te, teie
p;sind, sina;sinasid, teid
ill;sinasse, sinusse, susse;sinadesse, teisse
in;sinas, sinus, sus;sinades, teis
el;sinast, sinust, sust;sinadest, teist
all;sinale, sinule, sulle;sinadele, teile
ad;sinal, sinul, sul;sinadel, teil
abl;sinalt, sinult, sult;sinadelt, teilt
tr;sinaks, sinuks;sinadeks, teieks
ter;sinani, sinuni;sinadeni, teieni
es;sinana, sinuna;sinadena, teiena
ab;sinata, sinuta;sinadeta, teieta
kom;sinaga, sinuga;sinadega, teiega
n;sinusugune;sinusugused
g;sinusuguse;sinusuguste
p;sinusugust;sinusuguseid
ill;sinusugusesse;sinusugustesse, sinusuguseisse
in;sinusuguses;sinusugustes, sinusuguseis
el;sinusugusest;sinusugustest, sinusuguseist
all;sinusugusele;sinusugustele, sinusuguseile
ad;sinusugusel;sinusugustel, sinusuguseil
abl;sinusuguselt;sinusugustelt, sinusuguseilt
tr;sinusuguseks;sinusugusteks, sinusuguseiks
ter;sinusuguseni;sinusugusteni, sinusuguseini
es;sinusugusena;sinusugustena, sinusuguseina
ab;sinusuguseta;sinusugusteta
kom;sinusugusega;sinusugustega
n;sinutaoline;sinutaolised
g;sinutaolise;sinutaoliste
p;sinutaolist;sinutaolisi, sinutaoliseid
ill;sinutaolisesse;sinutaolisisse, sinutaolistesse, sinutaoliseisse
in;sinutaolises;sinutaolisis, sinutaolistes, sinutaoliseis
el;sinutaolisest;sinutaolisist, sinutaolistest, sinutaoliseist
all;sinutaolisele;sinutaolisile, sinutaolistele, sinutaoliseile
ad;sinutaolisel;sinutaolisil, sinutaolistel, sinutaoliseil
abl;sinutaoliselt;sinutaolisilt, sinutaolistelt, sinutaoliseilt
tr;sinutaoliseks;sinutaolisiks, sinutaolisteks, sinutaoliseiks
ter;sinutaoliseni;sinutaolisteni
es;sinutaolisena;sinutaolistena
ab;sinutaoliseta;sinutaolisteta
kom;sinutaolisega;sinutaolistega
n;siuke;siukesed
g;siukese;siukeste
p;siukest;siukesi
ill;siukesesse;siukesisse, siukestesse
in;siukeses;siukesis, siukestes
el;siukesest;siukesist, siukestest
all;siukesele;siukesile, siukestele
ad;siukesel;siukesil, siukestel
abl;siukeselt;siukesilt, siukestelt
tr;siukeseks;siukesiks, siukesteks
ter;siukeseni;siukesteni
es;siukesena;siukestena
ab;siukeseta;siukesteta
kom;siukesega;siukestega
n;siukene;siukesed
g;siukese;siukeste
p;siukest;siukesi
ill;siukesesse;siukesisse, siukestesse
in;siukeses;siukesis, siukestes
el;siukesest;siukesist, siukestest
all;siukesele;siukesile, siukestele
ad;siukesel;siukesil, siukestel
abl;siukeselt;siukesilt, siukestelt
tr;siukeseks;siukesiks, siukesteks
ter;siukeseni;siukesteni
es;siukesena;siukestena
ab;siukeseta;siukesteta
kom;siukesega;siukestega
n;säherdune;säherdused
g;säherduse;säherduste
p;säherdust;säherdusi
ill;säherdusesse;säherdusisse, säherdustesse
in;säherduses;säherdusis, säherdustes
el;säherdusest;säherdusist, säherdustest
all;säherdusele;säherdusile, säherdustele
ad;säherdusel;säherdusil, säherdustel
abl;säherduselt;säherdusilt, säherdustelt
tr;säherduseks;säherdusiks, säherdusteks
ter;säherduseni;säherdusteni
es;säherdusena;säherdustena
ab;säherduseta;säherdusteta
kom;säherdusega;säherdustega
n;säärane;säärased
g;säärase;sääraste
p;säärast;sääraseid
ill;säärasesse;säärastesse, sääraseisse
in;säärases;säärastes, sääraseis
el;säärasest;säärastest, sääraseist
all;säärasele;säärastele, sääraseile
ad;säärasel;säärastel, sääraseil
abl;sääraselt;säärastelt, sääraseilt
tr;sääraseks;säärasteks, sääraseiks
ter;sääraseni;säärasteni, sääraseini
es;säärasena;säärastena, sääraseina
ab;sääraseta;säärasteta
kom;säärasega;säärastega
n;taoline, taoline;taolised, taolised
g;taolise, taolise;taoliste, taoliste
p;taolist, taolist;taolisi, taolisi, taoliseid
ill;taolisesse, taolisesse;taolisisse, taolisisse, taolistesse, taolistesse, taoliseisse
in;taolises, taolises;taolisis, taolisis, taolistes, taolistes, taoliseis
el;taolisest, taolisest;taolisist, taolisist, taolistest, taolistest, taoliseist
all;taolisele, taolisele;taolisile, taolisile, taolistele, taolistele, taoliseile
ad;taolisel, taolisel;taolisil, taolisil, taolistel, taolistel, taoliseil
abl;taoliselt, taoliselt;taolisilt, taolisilt, taolistelt, taolistelt, taoliseilt
tr;taoliseks, taoliseks;taolisiks, taolisiks, taolisteks, taolisteks, taoliseiks
ter;taoliseni, taoliseni;taolisteni, taolisteni
es;taolisena, taolisena;taolistena, taolistena
ab;taoliseta, taoliseta;taolisteta, taolisteta
kom;taolisega, taolisega;taolistega, taolistega
n;teiesugune;teiesugused
g;teiesuguse;teiesuguste
p;teiesugust;teiesuguseid
ill;teiesugusesse;teiesugustesse, teiesuguseisse
in;teiesuguses;teiesugustes, teiesuguseis
el;teiesugusest;teiesugustest, teiesuguseist
all;teiesugusele;teiesugustele, teiesuguseile
ad;teiesugusel;teiesugustel, teiesuguseil
abl;teiesuguselt;teiesugustelt, teiesuguseilt
tr;teiesuguseks;teiesugusteks, teiesuguseiks
ter;teiesuguseni;teiesugusteni, teiesuguseini
es;teiesugusena;teiesugustena, teiesuguseina
ab;teiesuguseta;teiesugusteta
kom;teiesugusega;teiesugustega
n;teine, teine;teised, teised
g;teise, teise;teiste, teiste
p;teist, teist;teisi, teisi
ill;teisesse, teisesse;teistesse, teistesse
in;teises, teises;teistes, teistes
el;teisest, teisest;teistest, teistest
all;teisele, teisele;teistele, teistele
ad;teisel, teisel;teistel, teistel
abl;teiselt, teiselt;teistelt, teistelt
tr;teiseks, teiseks;teisteks, teisteks
ter;teiseni, teiseni;teisteni, teisteni
es;teisena, teisena;teistena, teistena
ab;teiseta, teiseta;teisteta, teisteta
kom;teisega, teisega;teistega, teistega
n;teistsugune;teistsugused
g;teistsuguse;teistsuguste
p;teistsugust;teistsuguseid
ill;teistsugusesse;teistsugustesse, teistsuguseisse
in;teistsuguses;teistsugustes, teistsuguseis
el;teistsugusest;teistsugustest, teistsuguseist
all;teistsugusele;teistsugustele, teistsuguseile
ad;teistsugusel;teistsugustel, teistsuguseil
abl;teistsuguselt;teistsugustelt, teistsuguseilt
tr;teistsuguseks;teistsugusteks, teistsuguseiks
ter;teistsuguseni;teistsugusteni, teistsuguseini
es;teistsugusena;teistsugustena, teistsuguseina
ab;teistsuguseta;teistsugusteta
kom;teistsugusega;teistsugustega
n;ta, tema;nad, nemad
g;ta, tema;nende
p;teda;neid
ill;tasse, temasse;neisse, nendesse
in;tas, temas;neis, nendes
el;tast, temast;neist, nendest
all;talle, temale;neile, nendele
ad;tal, temal;neil, nendel
abl;talt, temalt;neilt, nendelt
tr;temaks;neiks, nendeks
ter;temani;nendeni
es;temana;nendena
ab;temata;nendeta
kom;temaga;nendega
n;temake;temakesed
g;temakese;temakeste
p;temakest;temakesi
ill;temakesesse;temakesisse, temakestesse
in;temakeses;temakesis, temakestes
el;temakesest;temakesist, temakestest
all;temakesele;temakesile, temakestele
ad;temakesel;temakesil, temakestel
abl;temakeselt;temakesilt, temakestelt
tr;temakeseks;temakesiks, temakesteks
ter;temakeseni;temakesteni
es;temakesena;temakestena
ab;temakeseta;temakesteta
kom;temakesega;temakestega
n;temakene;temakesed
g;temakese;temakeste
p;temakest;temakesi
ill;temakesesse;temakesisse, temakestesse
in;temakeses;temakesis, temakestes
el;temakesest;temakesist, temakestest
all;temakesele;temakesile, temakestele
ad;temakesel;temakesil, temakestel
abl;temakeselt;temakesilt, temakestelt
tr;temakeseks;temakesiks, temakesteks
ter;temakeseni;temakesteni
es;temakesena;temakestena
ab;temakeseta;temakesteta
kom;temakesega;temakestega
n;temasugune;temasugused
g;temasuguse;temasuguste
p;temasugust;temasuguseid
ill;temasugusesse;temasugustesse, temasuguseisse
in;temasuguses;temasugustes, temasuguseis
el;temasugusest;temasugustest, temasuguseist
all;temasugusele;temasugustele, temasuguseile
ad;temasugusel;temasugustel, temasuguseil
abl;temasuguselt;temasugustelt, temasuguseilt
tr;temasuguseks;temasugusteks, temasuguseiks
ter;temasuguseni;temasugusteni, temasuguseini
es;temasugusena;temasugustena, temasuguseina
ab;temasuguseta;temasugusteta
kom;temasugusega;temasugustega
n;temataoline;temataolised
g;temataolise;temataoliste
p;temataolist;temataolisi, temataoliseid
ill;temataolisesse;temataolisisse, temataolistesse, temataoliseisse
in;temataolises;temataolisis, temataolistes, temataoliseis
el;temataolisest;temataolisist, temataolistest, temataoliseist
all;temataolisele;temataolisile, temataolistele, temataoliseile
ad;temataolisel;temataolisil, temataolistel, temataoliseil
abl;temataoliselt;temataolisilt, temataolistelt, temataoliseilt
tr;temataoliseks;temataolisiks, temataolisteks, temataoliseiks
ter;temataoliseni;temataolisteni
es;temataolisena;temataolistena
ab;temataoliseta;temataolisteta
kom;temataolisega;temataolistega
n;too;nood
g;tolle;nonde
p;toda;noid
ill;tosse, tollesse;noisse, nondesse
in;tos, tolles;nois, nondes
el;tost, tollest;noist, nondest
all;tollele;noile, nondele
ad;tol, tollel;noil, nondel
abl;tolt, tollelt;noilt, nondelt
tr;tolleks;nondeks
ter;tolleni;nondeni
es;tollena;nondena
ab;tolleta;nondeta
kom;tollega;nondega
n;toosama;noodsamad
g;tollesama;nondesamade
p;todasama;noidsamu
ill;tollessesamasse;noissesamusse, nondessesamadesse
in;tollessamas;noissamus, nondessamades
el;tollestsamast;noistsamust, nondestsamadest
all;tollelesamale;nondelesamadele
ad;tollelsamal, tolsamal;noilsamul, nondelsamadel
abl;tolleltsamalt;noiltsamult, nondeltsamadelt
tr;tollekssamaks;noikssamuks, nondekssamadeks
ter;tollesamani;nondesamadeni
es;tollesamana;nondesamadena
ab;tollesamata;nondesamadeta
kom;tollesamaga;nondesamadega
n;toosamane;toosamased
g;toosamase;toosamaste
p;toosamast;toosamaseid
ill;toosamasesse;toosamastesse, toosamaseisse
in;toosamases;toosamastes, toosamaseis
el;toosamasest;toosamastest, toosamaseist
all;toosamasele;toosamastele, toosamaseile
ad;toosamasel;toosamastel, toosamaseil
abl;toosamaselt;toosamastelt, toosamaseilt
tr;toosamaseks;toosamasteks, toosamaseiks
ter;toosamaseni;toosamasteni, toosamaseini
es;toosamasena;toosamastena, toosamaseina
ab;toosamaseta;toosamasteta
kom;toosamasega;toosamastega
n;üks, üks;ühed, ühed
g;ühe, ühe;ühtede, ühtede
p;üht, üht, ühte, ühte;ühtesid, ühtesid
ill;ühesse, ühesse;ühtedesse, ühtedesse
in;ühes, ühes;ühtedes, ühtedes
el;ühest, ühest;ühtedest, ühtedest
all;ühele, ühele;ühtedele, ühtedele
ad;ühel, ühel;ühtedel, ühtedel
abl;ühelt, ühelt;ühtedelt, ühtedelt
tr;üheks, üheks;ühtedeks, ühtedeks
ter;üheni, üheni;ühtedeni, ühtedeni
es;ühena, ühena;ühtedena, ühtedena
ab;üheta, üheta;ühtedeta, ühtedeta
kom;ühega, ühega;ühtedega, ühtedega
n;;üksteised
g;üksteise;üksteiste
p;üksteist;üksteisi
ill;üksteisesse;üksteistesse
in;üksteises;üksteistes
el;üksteisest;üksteistest
all;üksteisele;üksteistele
ad;üksteisel;üksteistel
abl;üksteiselt;üksteistelt
tr;üksteiseks;üksteisteks
ter;üksteiseni;üksteisteni
es;üksteisena;üksteistena
ab;üksteiseta;üksteisteta
kom;üksteisega;üksteistega
